Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:45:29;-6.974.402;107.632.614;3466282
15/02/2020;12:45:30;-6.974.402;107.632.614;3458732
15/02/2020;12:45:31;-6.974.434;107.632.614;3526681
15/02/2020;12:45:32;-6.974.434;107.632.614;3556884
15/02/2020;12:45:33;-6.974.474;107.632.598;3541782
15/02/2020;12:45:34;-6.974.474;107.632.598;3511582
15/02/2020;12:45:35;-6.974.503;107.632.598;3511582
15/02/2020;12:45:36;-6.974.503;107.632.598;3526681
15/02/2020;12:45:37;-6.974.548;107.632.598;3534232
15/02/2020;12:45:38;-6.974.548;107.632.598;3549334
15/02/2020;12:45:39;-6.974.595;107.632.591;3526681
15/02/2020;12:45:40;-6.974.595;107.632.591;3526681
15/02/2020;12:45:41;-6.974.634;107.632.591;3526681
15/02/2020;12:45:42;-6.974.634;107.632.591;3511582
15/02/2020;12:45:43;-6.974.663;107.632.583;3511582
15/02/2020;12:45:44;-6.974.663;107.632.583;3526681
15/02/2020;12:45:45;-6.974.697;107.632.575;3526681
15/02/2020;12:45:46;-6.974.697;107.632.575;3564434
15/02/2020;12:45:47;-6.974.733;107.632.575;3541782
15/02/2020;12:45:48;-6.974.733;107.632.575;3519132
15/02/2020;12:45:49;-6.974.760;107.632.583;3535743
15/02/2020;12:45:50;-6.974.760;107.632.583;3535743
15/02/2020;12:45:51;-6.974.788;107.632.583;3535744
15/02/2020;12:45:52;-6.974.788;107.632.583;3519132
15/02/2020;12:45:53;-6.974.824;107.632.575;3511582
15/02/2020;12:45:54;-6.974.824;107.632.575;3519132
15/02/2020;12:45:55;-6.974.847;107.632.575;3534232
15/02/2020;12:45:56;-6.974.847;107.632.575;3609736
15/02/2020;12:45:57;-6.974.868;107.632.575;3602185
15/02/2020;12:45:58;-6.974.868;107.632.575;3541782
15/02/2020;12:45:59;-6.974.887;107.632.591;3564434
15/02/2020;12:46:00;-6.974.887;107.632.591;3655037
15/02/2020;12:46:01;-6.974.911;107.632.591;3632387
15/02/2020;12:46:02;-6.974.911;107.632.591;3617288
15/02/2020;12:46:03;-6.974.924;107.632.606;3655037
15/02/2020;12:46:04;-6.974.924;107.632.606;3655037
15/02/2020;12:46:05;-6.974.945;107.632.606;3639938
15/02/2020;12:46:06;-6.974.945;107.632.606;3624835
15/02/2020;12:46:07;-6.974.959;107.632.621;3662589
15/02/2020;12:46:08;-6.974.959;107.632.621;3707891
15/02/2020;12:46:09;-6.974.973;107.632.621;3858899
15/02/2020;12:46:10;-6.974.973;107.632.621;3858899
15/02/2020;12:46:11;-6.974.971;107.632.644;3783395
15/02/2020;12:46:12;-6.974.971;107.632.644;3707891
15/02/2020;12:46:13;-6.974.979;107.632.652;3617288
15/02/2020;12:46:14;-6.974.979;107.632.652;3632387
15/02/2020;12:46:15;-6.974.990;107.632.667;3594635
15/02/2020;12:46:16;-6.974.990;107.632.667;3775845
15/02/2020;12:46:17;-6.975.017;107.632.667;4062757
15/02/2020;12:46:18;-6.975.017;107.632.667;3813595
15/02/2020;12:46:19;-6.975.039;107.632.667;3692791
15/02/2020;12:46:20;-6.975.039;107.632.667;3685239
15/02/2020;12:46:21;-6.975.062;107.632.675;3715441
15/02/2020;12:46:22;-6.975.062;107.632.675;3813595
15/02/2020;12:46:23;-6.975.078;107.632.675;3768294
15/02/2020;12:46:24;-6.975.078;107.632.675;3722993
15/02/2020;12:46:25;-6.975.110;107.632.675;3677692
15/02/2020;12:46:26;-6.975.110;107.632.675;4319471
15/02/2020;12:46:27;-6.975.126;107.632.667;4138263
15/02/2020;12:46:28;-6.975.126;107.632.667;3934401
15/02/2020;12:46:29;-6.975.161;107.632.690;3798496
15/02/2020;12:46:30;-6.975.161;107.632.690;3745643
15/02/2020;12:46:31;-6.975.205;107.632.713;3677689
15/02/2020;12:46:32;-6.975.205;107.632.713;3685239
15/02/2020;12:46:33;-6.975.247;107.632.751;3707891
15/02/2020;12:46:34;-6.975.247;107.632.751;3722992
15/02/2020;12:46:35;-6.975.286;107.632.766;3707891
15/02/2020;12:46:36;-6.975.286;107.632.766;4357224
15/02/2020;12:46:37;-6.975.333;107.632.797;3904199
15/02/2020;12:46:38;-6.975.333;107.632.797;4145813
15/02/2020;12:46:39;-6.975.377;107.632.827;3896651
15/02/2020;12:46:40;-6.975.377;107.632.827;3934401
15/02/2020;12:46:41;-6.975.415;107.632.865;3828698
15/02/2020;12:46:42;-6.975.415;107.632.865;3738092
15/02/2020;12:46:43;-6.975.441;107.632.926;3775845
15/02/2020;12:46:44;-6.975.441;107.632.926;4183563
15/02/2020;12:46:45;-6.975.488;107.632.949;3949503
15/02/2020;12:46:46;-6.975.488;107.632.949;3979703
15/02/2020;12:46:47;-6.975.527;107.632.957;3979703
15/02/2020;12:46:48;-6.975.527;107.632.957;3957053
15/02/2020;12:46:49;-6.975.576;107.632.965;3828698
15/02/2020;12:46:50;-6.975.576;107.632.965;3813595
15/02/2020;12:46:51;-6.975.628;107.632.987;3738092
15/02/2020;12:46:52;-6.975.628;107.632.987;3685239
15/02/2020;12:46:53;-6.975.679;107.632.995;3617288
15/02/2020;12:46:54;-6.975.679;107.632.995;3564434
15/02/2020;12:46:55;-6.975.736;107.633.010;3602185
15/02/2020;12:46:56;-6.975.736;107.633.010;3617288
15/02/2020;12:46:57;-6.975.788;107.633.026;3624835
15/02/2020;12:46:58;-6.975.788;107.633.026;3707891
15/02/2020;12:46:59;-6.975.843;107.633.041;3692791
15/02/2020;12:47:00;-6.975.843;107.633.041;3745643
15/02/2020;12:47:01;-6.975.896;107.633.049;3828698
15/02/2020;12:47:02;-6.975.896;107.633.049;3836248
15/02/2020;12:47:03;-6.975.936;107.633.056;3934401
15/02/2020;12:47:04;-6.975.936;107.633.056;3806045
15/02/2020;12:47:05;-6.975.985;107.633.079;3738092
15/02/2020;12:47:06;-6.975.985;107.633.079;3685239
15/02/2020;12:47:07;-6.976.029;107.633.079;3662589
15/02/2020;12:47:08;-6.976.029;107.633.079;3685239
15/02/2020;12:47:09;-6.976.069;107.633.087;3632387
15/02/2020;12:47:10;-6.976.069;107.633.087;3541782
15/02/2020;12:47:11;-6.976.097;107.633.056;3511582
15/02/2020;12:47:12;-6.976.097;107.633.056;3511582
15/02/2020;12:47:13;-6.976.113;107.633.018;3526681
15/02/2020;12:47:14;-6.976.113;107.633.018;3617288
15/02/2020;12:47:15;-6.976.119;107.632.995;3677689
15/02/2020;12:47:16;-6.976.119;107.632.995;3624835
15/02/2020;12:47:17;-6.976.137;107.632.995;3587086
15/02/2020;12:47:18;-6.976.137;107.632.995;3556884
15/02/2020;12:47:19;-6.976.161;107.632.995;3526681
15/02/2020;12:47:20;-6.976.161;107.632.995;3496479
15/02/2020;12:47:21;-6.976.191;107.632.995;3466276
15/02/2020;12:47:22;-6.976.191;107.632.995;3609736
15/02/2020;12:47:23;-6.976.206;107.633.010;3632387
15/02/2020;12:47:24;-6.976.206;107.633.010;3685239
15/02/2020;12:47:25;-6.976.211;107.633.026;3662589
15/02/2020;12:47:26;-6.976.211;107.633.026;3602185
15/02/2020;12:47:27;-6.976.226;107.633.033;3594635
15/02/2020;12:47:28;-6.976.226;107.633.033;3602185
15/02/2020;12:47:29;-6.976.259;107.633.033;3534232
15/02/2020;12:47:30;-6.976.259;107.633.033;3516614
15/02/2020;12:47:31;-6.976.297;107.632.995;3486413
15/02/2020;12:47:32;-6.976.297;107.632.995;3456211
15/02/2020;12:47:33;-6.976.318;107.632.987;3426010
15/02/2020;12:47:34;-6.976.318;107.632.987;3395808
